entry_date,ticker,sector,lgbm_prob,entry_price,exit_price,exit_date,exit_day,reason,pnl_gross,pnl_net,rule
2026-01-19,443060,조선,0.6368751822967184,187600.0,186800.0,2026-01-27,5,time_exit,-0.0042643923240938165,-0.008364392324093816,A
2026-01-28,329180,조선,0.5642177119017188,584000.0,554800.0,2026-02-02,2,stop_loss,-0.05,-0.0541,A
2026-02-03,060590,제약,0.686066819705903,4200.0,3990.0,2026-02-06,2,stop_loss,-0.05,-0.0541,A
2026-02-09,443060,조선,0.5692255593171949,168800.0,177300.0,2026-02-20,5,time_exit,0.050355450236966824,0.046255450236966825,A
2026-02-23,049470,소프트웨어,0.6651027683628367,697.0,662.15,2026-02-24,0,stop_loss,-0.05000000000000003,-0.05410000000000003,A
2026-02-25,099320,방산,0.6018754937954883,182000.0,200200.00000000003,2026-02-27,1,take_profit,0.10000000000000016,0.09590000000000015,A
2026-03-03,094860,게임,0.56416881643832,1230.0,1168.5,2026-03-04,0,stop_loss,-0.05,-0.0541,A
2026-03-05,005387,자동차,0.8871252497458282,262000.0,248900.0,2026-03-09,1,stop_loss,-0.05,-0.0541,A
2026-03-10,287840,제약,0.7838510785198114,46550.0,49400.0,2026-03-18,5,time_exit,0.061224489795918366,0.057124489795918366,A
2026-03-19,0008Z0,조선,0.6323356963818418,30150.0,28642.5,2026-03-23,1,stop_loss,-0.05,-0.0541,A
2026-03-24,005387,자동차,0.8645272091487557,255000.0,242250.0,2026-03-30,3,stop_loss,-0.05,-0.0541,A
2026-03-31,462350,방산,0.6673662129419583,13839.0,15222.900000000001,2026-04-01,0,take_profit,0.1000000000000001,0.0959000000000001,A
2026-04-02,041510,엔터,0.6435531911088415,86200.0,85600.0,2026-04-10,5,time_exit,-0.0069605568445475635,-0.011060556844547563,A
2026-04-13,058970,소프트웨어,0.7108579012653575,27450.0,30195.000000000004,2026-04-15,1,take_profit,0.10000000000000013,0.09590000000000012,A
2026-04-16,058970,소프트웨어,0.615828316236036,29250.0,29450.0,2026-04-24,5,time_exit,0.006837606837606838,0.002737606837606838,A
2026-04-28,103230,조선,0.5783538158925784,4115.0,3975.0,2026-05-08,5,time_exit,-0.03402187120291616,-0.03812187120291616,A
2017-04-11,086900,바이오,0.6194271662206375,382669.0,384965.0,2017-04-19,5,time_exit,0.005999963414857226,0.0018999634148572269,B
2017-04-25,086060,제약,0.6915654437189324,5380.0,5390.0,2017-05-08,5,time_exit,0.0018587360594795538,-0.0022412639405204457,B
2017-05-10,154030,바이오,0.5586734121813487,4500.0,4690.0,2017-05-18,5,time_exit,0.042222222222222223,0.038122222222222224,B
2017-05-19,208640,게임,0.6970392618501503,1350.0,1282.5,2017-05-29,5,stop_loss,-0.05,-0.0541,B
2017-05-31,047810,방산,0.6274337736615972,63400.0,63600.0,2017-06-09,5,time_exit,0.0031545741324921135,-0.000945425867507886,B
2017-06-12,900140,자동차,0.8060911090440506,3236.0,3074.2,2017-06-15,2,stop_loss,-0.05000000000000006,-0.05410000000000006,B
2017-06-20,032820,방산,0.6289196465039559,613.0,582.35,2017-06-22,1,stop_loss,-0.04999999999999996,-0.05409999999999996,B
2017-06-23,148780,소프트웨어,0.6476145475086262,24200.0,23300.0,2017-07-03,5,time_exit,-0.0371900826446281,-0.0412900826446281,B
2017-07-05,060240,조선,0.5827842927307441,114358.0,108640.09999999999,2017-07-13,5,stop_loss,-0.05000000000000008,-0.05410000000000008,B
2017-07-14,003620,자동차,0.7563669121719321,32142.0,32652.0,2017-07-24,5,time_exit,0.015867089789061043,0.011767089789061044,B
2017-07-28,014940,조선,0.6770663080896949,1350.0,1282.5,2017-07-31,0,stop_loss,-0.05,-0.0541,B
2017-08-01,094860,게임,0.5964739331636425,2385.0,2340.0,2017-08-09,5,time_exit,-0.018867924528301886,-0.022967924528301886,B
2017-08-11,061970,반도체,0.8355305101823078,2400.0,2640.0,2017-08-22,5,time_exit,0.1,0.09590000000000001,B
2017-08-23,005385,자동차,0.6463502747175377,99500.0,96400.0,2017-08-31,5,time_exit,-0.031155778894472363,-0.03525577889447236,B
2017-09-05,011000,바이오,0.7676801209816712,3383.0,3213.85,2017-09-08,2,stop_loss,-0.050000000000000024,-0.05410000000000002,B
2017-09-11,005385,자동차,0.7845427604723155,91600.0,87020.0,2017-09-15,3,stop_loss,-0.05,-0.0541,B
2017-09-18,005385,자동차,0.5699889498699283,90000.0,93400.0,2017-09-26,5,time_exit,0.03777777777777778,0.03367777777777778,B
2017-09-27,230980,방산,0.9065710225674697,1102.0,1162.0,2017-10-13,5,time_exit,0.0544464609800363,0.0503464609800363,B
2017-10-16,900140,자동차,0.7535781213083964,2484.0,2623.0,2017-10-24,5,time_exit,0.055958132045088566,0.051858132045088566,B
2017-10-25,086900,바이오,0.7663663769538803,344552.0,327324.39999999997,2017-10-26,0,stop_loss,-0.0500000000000001,-0.0541000000000001,B
2017-10-27,086900,바이오,0.8039328286233566,336883.0,320038.85,2017-11-02,3,stop_loss,-0.05000000000000007,-0.05410000000000007,B
2017-11-03,900140,자동차,0.772023626269563,2581.0,2681.0,2017-11-13,5,time_exit,0.03874467260751647,0.03464467260751647,B
2017-11-14,079550,방산,0.6246789361342884,57800.0,59400.0,2017-11-22,5,time_exit,0.02768166089965398,0.02358166089965398,B
2017-11-28,221840,방산,0.5807011115751627,7680.0,7860.0,2017-12-06,5,time_exit,0.0234375,0.0193375,B
2017-12-07,079550,방산,0.6082933574552455,56100.0,57800.0,2017-12-15,5,time_exit,0.030303030303030304,0.026203030303030304,B
2017-12-18,075580,조선,0.5742499335964895,1886.0,1880.0,2017-12-27,5,time_exit,-0.003181336161187699,-0.007281336161187698,B
2018-01-03,101000,조선,0.658291657447531,8146.0,7738.7,2018-01-04,0,stop_loss,-0.050000000000000024,-0.05410000000000002,B
2018-01-08,097800,반도체,0.5852935592440731,852.0,833.0,2018-01-16,5,time_exit,-0.022300469483568074,-0.026400469483568074,B
2018-01-19,001390,자동차,0.5975517857557603,5460.0,5187.0,2018-01-26,4,stop_loss,-0.05,-0.0541,B
2018-01-29,000040,자동차,0.5676061861578818,7286.0,6921.7,2018-02-05,4,stop_loss,-0.050000000000000024,-0.05410000000000002,B
2018-02-06,064290,반도체,0.8511608292149287,4345.0,4127.75,2018-02-07,0,stop_loss,-0.05,-0.0541,B
2018-02-08,086960,소프트웨어,0.6508094100939399,4704.0,4468.8,2018-02-12,1,stop_loss,-0.04999999999999996,-0.05409999999999996,B
2018-02-13,005387,자동차,0.8565413471759991,94500.0,96100.0,2018-02-23,5,time_exit,0.016931216931216932,0.012831216931216933,B
2018-02-28,036570,게임,0.6082874778709357,370000.0,392500.0,2018-03-09,5,time_exit,0.060810810810810814,0.056710810810810815,B
2018-03-12,201490,게임,0.6314659107765558,9330.0,8863.5,2018-03-20,5,stop_loss,-0.05,-0.0541,B
2018-03-21,065450,방산,0.5715201707294789,3165.0,3006.75,2018-03-22,0,stop_loss,-0.05,-0.0541,B
2018-03-23,014940,조선,0.6714254255863411,1020.0,1035.0,2018-04-02,5,time_exit,0.014705882352941176,0.010605882352941177,B
2018-04-03,101000,조선,0.7340274615181852,5356.0,5088.2,2018-04-06,2,stop_loss,-0.05000000000000003,-0.05410000000000003,B
2018-04-09,065570,조선,0.6360427682607318,7530.0,7530.0,2018-04-17,5,time_exit,0.0,-0.0040999999999999995,B
2018-04-18,005870,방산,0.5827572702981108,12150.0,11542.5,2018-04-23,2,stop_loss,-0.05,-0.0541,B
2018-04-25,114450,제약,0.6502597150207389,5722.0,5435.9,2018-04-30,2,stop_loss,-0.050000000000000065,-0.054100000000000065,B
2018-05-02,099320,방산,0.6486022109988405,14788.0,15620.0,2018-05-11,5,time_exit,0.05626183391939411,0.05216183391939411,B
2018-05-14,036570,게임,0.5824073619819949,334000.0,352000.0,2018-05-23,5,time_exit,0.05389221556886228,0.04979221556886228,B
2018-05-25,131100,엔터,0.5604264289023713,22950.0,21802.5,2018-05-28,0,stop_loss,-0.05,-0.0541,B
2018-05-30,099320,방산,0.6912448651457559,14083.0,14814.0,2018-06-08,5,time_exit,0.05190655400127814,0.04780655400127814,B
2018-06-11,174900,바이오,0.5865257421203549,22200.0,21090.0,2018-06-18,3,stop_loss,-0.05,-0.0541,B
2018-06-19,016670,소프트웨어,0.566217885292307,36517.0,34691.15,2018-06-27,5,stop_loss,-0.04999999999999996,-0.05409999999999996,B
2018-06-29,103230,조선,0.6385869485570104,12700.0,12065.0,2018-07-02,0,stop_loss,-0.05,-0.0541,B
