code,date,crd_remn_rt,crd_remn_chg_5d,prm_net_5d_ratio,prm_net_5d_raw
079960,20260119,1.8,6.689236866995962,2.9290750686126606e-07,595.0
079960,20260126,1.94,7.54969217238346,2.1878968168801442e-07,551.0
079960,20260129,1.97,0.6834112149532778,2.804207521277391e-07,978.0
079960,20260210,1.88,-6.124449729292114,2.676176655864385e-07,445.0
079960,20260211,1.86,-1.5100671140939603,1.4205839545102532e-07,236.0
079960,20260212,1.95,5.726283904722562,1.4932645857940298e-07,236.0
079960,20260504,2.05,8.349669157740514,3.224285638282732e-07,1173.0
079960,20260506,1.99,4.114505532274904,2.8996185794130803e-07,1639.0
079970,20240821,0.0,,0.0,0.0
080000,20200220,,,,
080000,20200305,,,,
080000,20200911,,,,
080000,20200914,,,,
080000,20230315,,,,
080000,20230322,,,,
080000,20230324,,,,
080000,20230327,,,,
080000,20230328,,,,
080000,20230519,,,,
080160,20201201,2.94,-2.708918765517221,,
080160,20201202,2.94,-4.634505174920878,,
080160,20210114,2.43,-12.11153202832026,,
080160,20210517,1.88,2.6114312358606284,,
080160,20210527,1.53,-10.615808540868354,,
080160,20210531,1.33,-20.956160596451067,,
080160,20210602,1.27,-18.569752943272068,,
080160,20210603,1.31,-14.484925012128114,,
080160,20260205,0.78,-25.902753216735498,1.982332924757631e-08,1530.0
080220,20210121,8.36,0.20134408493326372,,
080220,20210122,8.31,-8.135274706735185,,
080220,20231127,6.96,-1.7384928776934871,3.3618706799138955e-08,5853.0
080220,20231129,8.76,20.77542270787589,1.9026920523978796e-07,5312.0
080220,20231130,8.51,23.43492858443632,1.4649701422238576e-07,3061.0
080220,20231206,5.71,-34.65041100339176,6.644139283548423e-08,13762.0
080220,20231207,4.61,-45.795654798978916,1.119748580516034e-07,13762.0
080220,20231208,3.97,-52.37549877085355,4.6273788839243136e-08,18313.0
080220,20231212,2.94,-52.40642411649219,4.174621624323011e-08,16175.0
080220,20240102,1.57,-9.923270103133719,2.155377129211494e-08,7926.0
080220,20240103,1.57,-7.622662254957202,2.3133923823863005e-08,7926.0
080220,20240116,1.56,46.19446536654619,8.131730422425591e-08,30406.0
080220,20240119,1.59,-0.8717454055440554,5.1115590082697376e-08,48661.0
080220,20240122,1.65,10.241032176709508,2.914693107507734e-08,22773.0
080220,20240124,1.54,-1.7445690973057038,8.413059030852345e-08,41468.0
080220,20251002,6.84,-5.327683701955599,1.3841714825259388e-07,27290.0
080220,20251010,6.88,-0.3919306857338878,2.615649084569541e-07,22688.0
080220,20251230,6.98,-4.394133480894757,5.5864150729584065e-08,32126.0
080220,20260102,7.52,2.6268881834544455,1.2072689695128294e-07,62594.0
080220,20260105,7.68,5.298007183293363,3.018222304146975e-07,65355.0
080220,20260128,6.17,4.162717381841796,6.39218647902868e-11,29.0
080220,20260130,8.05,43.448091088990104,5.5747523250411905e-08,39777.0
080220,20260209,7.12,-8.297541313053703,1.5918909423258205e-07,42559.0
080220,20260427,6.99,12.67317601018172,2.0852407044817515e-07,178311.0
080420,20201013,1.07,19.456959053798585,,
080420,20201014,1.04,8.524773769847283,,
080420,20220112,0.7,76.27760470099547,5.293138563733578e-09,954.0
080470,20200914,6.05,2.30675380658365,,
080520,20210126,6.18,-13.63008267131386,,
080520,20210331,6.02,5.158483530142943,,
080520,20210401,5.99,-1.5381004340882964,,
080520,20210405,7.54,26.523310274382016,,
080520,20260324,0.0,0.0,3.997609740229476e-08,125.0
080520,20260325,0.0,0.0,1.7148964032804536e-08,125.0
080520,20260409,0.0,,2.2981960791737486e-08,393.0
080530,20200525,0.0,,,
080530,20210713,0.3,9.979518327565495,,
080530,20210714,0.33,29.093169172487276,,
080530,20240109,0.27,45.34369356682517,5.774760944793217e-10,19.0
080530,20240112,0.91,298.9543218167117,3.5869036759989497e-09,118.0
080530,20240115,0.95,289.84449177551386,8.418690088702402e-09,239.0
080580,20200717,0.78,-28.540103866128096,,
080580,20200720,0.78,-6.409371713985279,,
080580,20200721,0.82,-6.464057207376738,,
080580,20200723,0.81,-0.3790801435808011,,
080580,20200724,0.73,-3.9298018949181723,,
080580,20200810,0.95,4.291097155522716,,
080580,20200824,1.28,29.487456164014027,,
080580,20200826,1.25,43.22993226143752,,
080580,20200904,1.25,-5.3584084488765065,,
080580,20200907,1.26,2.3444255837043126,,
080580,20200925,2.22,20.9381710840171,,
080580,20200928,2.35,15.712104219337085,,
080580,20200929,2.26,10.715321472253404,,
080580,20201005,2.45,26.6624901696813,,
080580,20201006,2.48,16.061486978555383,,
080580,20201103,3.08,7.3230336830382825,,
080580,20250813,1.39,65.12773585378694,2.922674005340135e-07,920.0
080580,20250911,1.64,10.651429370238352,2.8443377021302103e-07,3673.0
080580,20250918,1.39,-15.003884807559897,2.2758830408784457e-07,3496.0
080580,20250929,2.64,125.40717763814877,1.8900709810454788e-07,2486.0
080580,20251002,2.59,4.600801288670442,2.218628083399902e-07,2486.0
080580,20260128,2.46,9.602025146573645,2.5179197810731153e-08,1363.0
080580,20260204,2.51,1.729006532587385,1.1963242222588168e-07,4759.0
080580,20260311,3.0,-19.302910546978048,3.5267063705883e-07,10338.0
080580,20260319,2.45,-15.268793461369256,5.796578421818657e-08,1808.0
080580,20260414,2.16,-11.140616869718123,1.5034103159351222e-07,7545.0
080580,20260417,2.2,1.62874599291849,1.4037358496798677e-07,7593.0
080580,20260508,1.54,-10.74036369224184,3.6732870203756146e-07,8644.0
080720,20200407,11.48,51.93098149546067,,
081150,20200527,10.66,17.773259185971146,,
081150,20200528,10.49,15.544349328495088,,
081150,20210609,10.3,14.257394990225269,,
081150,20220308,13.43,30.381793319226126,3.177990372337058e-09,1620.0
081150,20220314,13.94,8.895341299909187,1.073779963050931e-08,5939.0
081150,20230821,7.34,5.527130029709637,0.0,0.0
081150,20260511,2.93,-2.3104601982198103,6.1574080006283e-08,2348.0
081580,20240612,3.29,1.608110435593435,2.0716279894237656e-07,401.0
081580,20240613,3.65,17.229265595927167,3.4014385677089335e-07,654.0
081580,20240618,5.14,58.14933359758212,3.693969531128886e-07,903.0
081580,20240702,5.76,7.5960758741334455,1.3627052395129638e-07,577.0
081580,20240924,5.91,-0.7630509932958773,1.1417685257107402e-07,262.0
081580,20240925,5.9,-0.6064065528370244,2.8463272373563706e-07,547.0
081580,20240930,7.0,13.874046582062904,5.43740395101537e-07,762.0
081580,20241004,6.88,16.512720737717636,3.5562839125176106e-07,674.0
081580,20241007,6.92,12.069944848526614,3.9982359488808954e-07,598.0
082210,20201214,8.11,-3.0880761576123517,,
082210,20201216,9.12,15.845938351334388,,
082210,20201224,9.43,0.5897715564409767,,
