date,close,updown,comp,change,open,high,low,volume,amount,marcap,kosdaq_return,kosdaq_ma5,kosdaq_disparity,kosdaq_volatility,kosdaq_foreign_net,kosdaq_inst_net
20240112,868.08,2,-14.45,-0.0163999999999999,878.69,880.3,865.81,1107335306,9817956878209,410148736041156.0,-1.637338107486419,878.01,98.86903338230772,1.6490457385426043,-169855403661.0,-187749620747.0
20240115,859.71,2,-8.37,-0.0096,865.45,869.69,855.0,996410652,8814756004556,406390818141181.0,-0.9641968482167584,874.0840000000001,98.3555356235785,1.6973828644058067,13228417032.0,-90214284553.0
20240116,854.83,2,-4.88,-0.0056999999999999,857.39,864.9,846.47,1032822195,9427894353885,403879277342545.0,-0.5676332716846422,868.122,98.46887879814128,2.149546880649407,-11791879712.0,60235758010.0
20240117,833.05,2,-21.78,-0.0255,856.61,856.97,832.7,1106275262,9112267875860,393681860340762.0,-2.547875016085077,859.64,96.90684472569913,2.833261344135602,-176503760747.0,14595197391.0
20240118,840.33,1,7.28,0.0087,834.01,848.63,830.06,1167940492,9516586886511,397229288077207.0,0.8738971250225269,851.2,98.72297932330827,2.2265920072900864,97509771039.0,71864026513.0
20240119,842.67,1,2.34,0.0028,848.66,856.05,837.87,1220560704,11330008924272,398160126936472.0,0.27846203277281933,846.118,99.59249182738104,2.142200645723841,44022658238.0,170798425574.0
20240122,839.69,2,-2.98,-0.0034999999999999,848.87,849.32,836.89,1320572642,12853804835041,396689616318072.0,-0.35363784162245615,842.1139999999999,99.71215298641279,1.4642995982894984,-38665761704.0,108859348170.0
20240123,840.11,1,0.42,0.0005,840.62,848.65,833.24,1248018390,11778754822620,396984730255445.0,0.05001845919327952,839.1700000000001,100.1120154438314,1.8331707549189846,-38010959064.0,-5891826027.0
20240124,836.21,2,-3.9,-0.0046,841.45,842.9,828.12,1417438154,10670434214130,395557643219167.0,-0.4642249229267592,839.802,99.57228013269794,1.7564917701586513,-142150278334.0,-78705871271.0
20240125,823.74,2,-12.47,-0.0149,833.34,833.34,820.64,1565969491,12874009155884,390353310452432.0,-1.4912521974145276,836.484,98.47648012394737,1.5239878080975406,-68195694643.0,-91907680744.0
20240126,837.24,1,13.5,0.0163999999999999,818.76,839.52,817.06,1238780423,11242548125217,398079081213062.0,1.638866632675362,835.3979999999999,100.220493704797,2.7431726024720353,178502122046.0,-5042340474.0
20240129,819.14,2,-18.1,-0.0216,841.21,841.21,815.54,1246813222,13191517578360,384137204369443.0,-2.161865176054656,831.2880000000001,98.53865327058732,3.0515566862020274,-214255278309.0,-273866395034.0
20240130,818.86,2,-0.28,-0.0003,826.0,828.54,811.57,1097207246,9727934440282,383976054539469.0,-0.03418219107844678,827.0379999999999,99.01116998251594,2.054479418886188,33531080713.0,-131361871491.0
20240131,799.24,2,-19.62,-0.024,813.8,818.9,799.24,1137249797,8642360135086,374861916613184.0,-2.396013970642108,819.644,97.5106265647037,2.415826984517077,-83807359889.0,-122648854850.0
20240201,798.73,2,-0.51,-0.0006,796.26,800.91,786.28,1124844785,8978321425595,375252532726266.0,-0.06381062008908867,814.642,98.04674936966175,1.837339562454474,139448452376.0,-167412319706.0
20240202,814.77,1,16.04,0.0200999999999999,803.71,817.74,803.71,1096190538,8618911062683,382771284007782.0,2.0081879984475304,810.1479999999999,100.57051304206146,1.7456545271304291,68204785726.0,97092023603.0
20240205,807.99,2,-6.78,-0.0083,812.28,813.83,807.36,974415250,7775026603080,379742624320544.0,-0.8321366766081195,807.918,100.00891179550399,0.7965233663268857,-119273011314.0,-178183264480.0
20240206,807.03,2,-0.96,-0.0012,804.36,808.39,795.37,1065542735,9727051601170,379490521402460.0,-0.11881335165039308,805.5519999999999,100.18347667189704,1.6186782037893457,-29623112498.0,-127855840761.0
20240207,811.92,1,4.89,0.0060999999999999,811.51,820.06,809.18,827984256,9325176029736,381548030041766.0,0.6059254302813954,808.088,100.47420577956856,1.3407105272886344,52383758476.0,-107686284504.0
20240208,826.58,1,14.66,0.0181,816.82,828.03,816.27,912499052,9579201514705,388825224165147.0,1.8055966105035015,813.658,101.58813653893897,1.4397296834063795,145778092941.0,-22631498647.0
20240213,845.15,1,18.57,0.0225,831.14,846.58,830.66,896289730,11292053996603,397516310558390.0,2.2466064990684487,819.734,103.1005179729034,1.9154414418750236,259583144410.0,-171325408580.0
20240214,853.3,1,8.15,0.0096,833.24,854.44,831.56,1086775918,11435373890607,401324744348004.0,0.9643258593149184,828.7959999999999,102.95657797576243,2.7459075416446774,-57332849915.0,-56655565217.0
20240215,859.21,1,5.91,0.0069,860.13,861.37,852.79,1222187510,11203385441976,404623030938354.0,0.6926051798898492,839.232,102.38050979943569,0.9975236301489357,-86865441147.0,-8482707416.0
20240216,857.6,2,-1.61,-0.0019,863.69,864.24,854.72,1339167323,11690978646367,403874229640531.0,-0.1873814317803535,848.368,101.08820700450747,1.102247334112932,-216448473682.0,397050417.0
20240219,858.47,1,0.87,0.001,854.28,862.08,853.52,1272095442,11285246481581,404544728704770.0,0.10144589552238958,854.7460000000001,100.43568498711896,1.0020133913939293,55792026201.0,-120212855588.0
20240220,866.17,1,7.7,0.009,858.08,866.17,854.58,1394893803,11980946563838,408188873512280.0,0.8969445641664686,858.95,100.84056115024156,1.350689912362474,81749940817.0,-106755405152.0
20240221,864.07,2,-2.1,-0.0024,861.58,872.38,860.91,1725464787,14794255236392,407078074686839.0,-0.24244663287805723,861.1039999999999,100.34444155409801,1.33127509923629,-113826665466.0,-75205737715.0
20240222,870.11,1,6.04,0.0069999999999999,868.22,871.46,864.56,1482220235,13534556564643,410057237761465.0,0.6990174407166094,863.284,100.7907015536023,0.7947294464536743,87424008442.0,-3601588052.0
20240223,868.57,2,-1.54,-0.0018,873.21,875.58,866.22,1490439010,14804334693081,410504407921475.0,-0.17698911631862657,865.4780000000001,100.3572592255378,1.0719071013845483,-87789580031.0,-136982720767.0
20240226,867.4,2,-1.17,-0.0013,869.08,872.52,866.43,1219639452,10721420985986,410041400279230.0,-0.13470416892134018,867.2639999999999,100.01568149952034,0.7007410134855285,-2874592876.0,-81924024435.0
20240227,853.75,2,-13.65,-0.0157,870.1,870.1,850.77,1190362944,11046065536383,403626145391387.0,-1.5736684344016538,864.78,98.72453109461367,2.2215837260085096,-17079348760.0,-134511805396.0
20240228,863.39,1,9.64,0.0113,859.78,868.71,858.56,1102228439,11873586247691,407720652818802.0,1.129136163982425,864.644,99.85496921276271,1.1805345553513795,155016912467.0,-24671480598.0
20240229,862.96,2,-0.43,-0.0005,862.55,865.88,858.3,1371169761,10859125300334,407740050432001.0,-0.049803680839477504,863.2140000000002,99.97057508335128,0.8787896353834609,68635490871.0,-133730014427.0
20240304,872.97,1,10.01,0.0116,869.36,875.3,869.36,1138979262,11042246583664,412454545421270.0,1.1599610642439862,864.094,101.02720305892645,0.6832612496549118,222006599378.0,-8214725869.0
20240305,866.37,2,-6.6,-0.0076,869.36,869.36,863.4,1214968007,11740940868911,409359773875014.0,-0.7560397264510854,863.8880000000001,100.28730576185801,0.6855617925830537,-70451659488.0,-182413427619.0
20240306,870.67,1,4.3,0.005,861.67,872.06,859.71,1112038813,11395838825505,411132718480225.0,0.4963237415884558,867.2719999999999,100.39180326356667,1.4332633142618298,-11020077979.0,-114492716420.0
20240307,863.37,2,-7.3,-0.0084,874.3,874.53,860.01,1142628897,12198653870356,408056247369613.0,-0.8384347686264504,867.268,99.55054262350276,1.6607571771703058,-198283846509.0,-117946064076.0
20240308,873.18,1,9.81,0.0113999999999999,869.18,873.18,866.18,1270638021,12751303417453,412693945032967.0,1.136245178776174,869.3120000000001,100.44494956931456,0.8053567730504615,287559108726.0,7271051953.0
20240311,875.93,1,2.75,0.0031,870.41,875.93,868.48,1076998269,11219824702863,414043080903195.0,0.3149407911312574,869.9039999999999,100.69272011624273,0.8559184752013341,-79862676758.0,-92595650892.0
20240312,889.71,1,13.78,0.0157,877.37,889.71,876.62,1056987563,11572840586636,420464094646659.0,1.5731850718664786,874.5719999999999,101.73090380208836,1.491958922689405,120497121877.0,25324616795.0
20240313,889.93,1,0.22,0.0002,892.41,894.39,881.33,1207088059,13226875241673,421190651134097.0,0.02472715828751859,878.424,101.30984581477738,1.463452897210917,-127202074113.0,-68960147429.0
20240314,887.52,2,-2.41,-0.0027,889.53,892.31,881.95,1073829911,10621404057471,420175475244887.0,-0.27080781634509776,883.2539999999999,100.4829867739065,1.1646599889829348,-161016193287.0,-42789934270.0
20240315,880.46,2,-7.06,-0.008,882.67,884.6,875.87,1106771785,9667731062753,416940444434001.0,-0.7954750315485759,884.71,99.51961659752914,0.9890446033058808,-77117278134.0,-97614700092.0
20240318,894.48,1,14.02,0.0159,882.58,894.48,882.58,973184054,9027309386933,423616009966886.0,1.5923494536946636,888.4199999999998,100.68210981292634,1.3483196990641049,189740952494.0,104480119247.0
20240319,891.91,2,-2.57,-0.0029,893.49,893.49,884.45,1104514231,9613691090770,422378340879205.0,-0.28731777121904223,888.8599999999999,100.34313615192494,1.011762862483068,-84814783536.0,-115991233813.0
20240320,891.45,2,-0.46,-0.0005,894.34,896.44,890.0,1053005260,9692220933440,422153103145616.0,-0.05157471045283968,889.164,100.25709542896475,0.7200840843527131,5930083271.0,-41329409166.0
20240321,904.29,1,12.84,0.0144,900.46,906.26,899.24,1066401786,10668754283536,429151069389985.0,1.4403499915867313,892.518,101.31896499566395,0.7796015369922019,368624282829.0,8693489756.0
20240322,903.98,2,-0.31,-0.0003,902.7,905.64,900.84,1075161967,9982250423062,429265060287089.0,-0.03428103816253136,897.222,100.75321380884552,0.531738118976399,-50298454615.0,-65622474587.0
20240325,913.69,1,9.71,0.0107,906.45,916.01,905.7,961278468,9321800664109,434141685509001.0,1.0741388083807202,901.064,101.40123232090063,1.1374041590821276,197712915486.0,21194657289.0
20240326,916.09,1,2.4,0.0026,915.49,922.57,910.86,1041934854,13452124683478,436174066372717.0,0.2626711466690024,905.9,101.12484821724253,1.2790964401577338,72196723035.0,-36469160027.0
20240327,911.25,2,-4.84,-0.0053,914.33,918.49,905.26,1138180570,12664349741061,433806535353528.0,-0.5283323690903785,909.86,100.15277075594047,1.4469611628186778,54901976770.0,20577887733.0
20240328,910.05,2,-1.2,-0.0013,912.33,914.38,908.98,1095621429,12312957383477,433258803118451.0,-0.13168724279836175,911.0120000000001,99.89440314726919,0.5918910920390622,-11519440975.0,15089642621.0
20240329,905.5,2,-4.55,-0.005,912.31,914.25,903.61,946867591,11675532452047,431430814339863.0,-0.4999725289819179,911.316,99.36180205329435,1.1662702370904614,33652448954.0,30202781130.0
20240401,912.45,1,6.95,0.0077,909.62,920.05,907.48,914266500,10050371163564,434746969233992.0,0.7675317504141299,911.068,100.15169010436105,1.3818957366812445,68464710030.0,55494719114.0
20240402,891.59,2,-20.86,-0.0229,912.07,913.79,888.88,1037752687,12348933930894,424737292031838.0,-2.286152665899499,906.168,98.39124753908767,2.7311500213799342,-226545680070.0,-236960989915.0
20240403,879.96,2,-11.63,-0.013,883.22,883.95,874.77,994522707,12269823284174,419811193268135.0,-1.3044112204040004,899.9100000000001,97.78311164449778,1.0393786372591272,-36308585933.0,-156354951322.0
20240404,882.9,1,2.94,0.0033,885.53,889.7,878.12,979416341,11502171482762,421152663985379.0,0.3341060957316122,894.4799999999999,98.70539307754227,1.3076914390252212,102064096403.0,-70209929677.0
20240405,872.29,2,-10.61,-0.012,872.47,879.34,867.45,1075572471,11298371525901,415969204787863.0,-1.2017215992751185,887.838,98.2487796197054,1.3627975747017074,-109428690335.0,-61213608588.0
20240408,860.57,2,-11.72,-0.0134,873.76,873.76,859.09,1056845550,10485550114905,410224840738518.0,-1.3435898611700137,877.4620000000001,98.07490238893536,1.6789507416224088,-153220646959.0,-171379617086.0
20240409,859.33,2,-1.24,-0.0014,864.0,871.18,856.49,976468114,9018900603827,410048513791140.0,-0.1440905446390195,871.01,98.65902802493657,1.7002314814814747,-20872835158.0,-29479429701.0
20240411,858.1,2,-1.23,-0.0014,850.8,860.83,847.54,661659827,6661340842895,409477614871889.0,-0.1431347677842032,866.6380000000001,99.01481356691028,1.5620592383639018,-24956241900.0,-50364979871.0
20240412,860.47,1,2.37,0.0028,863.16,867.01,858.24,740523249,8172048326999,410770379390485.0,0.2761915860622244,862.152,99.80490679137786,1.0160341072338828,-29681094139.0,-24510313443.0
20240415,852.42,2,-8.05,-0.0093999999999999,850.21,854.51,842.84,837138348,8174896588498,406964937626281.0,-0.9355352307459985,858.1780000000001,99.32904362498222,1.3726020630197198,-71443591011.0,-30259447927.0
20240416,832.81,2,-19.61,-0.023,845.54,848.24,829.76,931165665,8423064101492,397477242483208.0,-2.300509138687501,852.626,97.6758860274024,2.1855855429666273,-156263215960.0,-10036776932.0
20240417,833.03,1,0.22,0.0003,839.3,845.45,833.03,930975879,7958566104952,397619667254642.0,0.026416589618283304,847.366,98.30816907924086,1.479804599070663,-30679108547.0,95128574800.0
20240418,855.65,1,22.62,0.0272,833.38,856.05,833.38,956763489,7774116062897,408372865971662.0,2.715388401378105,846.876,101.03604305707093,2.720247666130692,258058553762.0,62558960240.0
20240419,841.91,2,-13.74,-0.0161,849.99,850.07,824.99,1100743042,9020717028669,402220419239978.0,-1.6057967626950331,843.164,99.85127448515354,2.950622948505281,-356925252412.0,108793789440.0
20240422,845.82,1,3.91,0.0046,844.95,854.16,840.29,898755915,8014043820006,404137812735307.0,0.46442018743098057,841.844,100.47229652999843,1.6415172495413934,-75197899876.0,-30707478947.0
20240423,845.44,2,-0.38,-0.0004,848.88,853.62,844.5,886593400,7393250528685,404562798591266.0,-0.044926816580359574,844.3700000000001,100.12672169783387,1.0743567995476397,-46592124588.0,-32803372447.0
20240424,862.23,1,16.79,0.0199,856.37,863.12,855.79,957921894,7930463876911,412527718373546.0,1.9859481453444294,850.21,101.4137683631103,0.8559384378247767,183532323497.0,72714702535.0
20240425,853.26,2,-8.97,-0.0104,855.78,865.15,853.13,811574905,8018436622819,408543273284626.0,-1.040325667165376,849.732,100.41518973040912,1.404566594218138,-245824073608.0,-66792774779.0
20240426,856.82,1,3.56,0.0042,860.0,862.8,852.8,704655856,8089482216636,410420659948729.0,0.4172233551320792,852.7139999999999,100.48152135417034,1.1627906976744187,-75273153474.0,24914482725.0
20240429,869.72,1,12.9,0.0151,860.53,869.73,860.53,772592926,7575250451944,416568643489746.0,1.5055670969398527,857.494,101.42578257107337,1.0691085726238534,140410946910.0,84399070159.0
20240430,868.93,2,-0.79,-0.0009,872.08,875.64,867.32,792642796,8036165395409,416784439542328.0,-0.09083383157798552,862.192,100.78149646482453,0.954040913677637,-55136904796.0,-110165981503.0
20240502,867.48,2,-1.45,-0.0017,865.78,870.33,864.98,854449816,7919463012204,416544774263651.0,-0.16687189992288243,863.242,100.49093996816651,0.6179398923514083,-67309364677.0,-15232335885.0
20240503,865.59,2,-1.89,-0.0022,872.27,875.11,865.21,843085137,8669936578304,416261038862808.0,-0.2178724581546554,865.708,99.98636953799665,1.134969676820248,-36347069755.0,88517061669.0
20240507,871.26,1,5.67,0.0066,874.69,876.94,869.75,802229139,8043080940733,419337853171662.0,0.6550445360967716,868.5959999999999,100.30670184988189,0.8220055105237345,123030955906.0,115483021742.0
20240508,872.42,1,1.16,0.0013,870.11,873.65,862.81,967419140,8407169934014,419922163322925.0,0.13314050914767783,869.1360000000001,100.37784650503487,1.2458194940869582,1024086484.0,-86425651571.0
20240509,870.15,2,-2.27,-0.0026,871.17,873.53,869.0,1019040873,9789655564600,418824645242297.0,-0.26019577726323906,869.3799999999999,100.08856886516828,0.5199903577946868,-23419545204.0,-120238045324.0
20240510,864.16,2,-5.99,-0.0069,873.56,875.21,864.03,961248333,9692426294992,416224870109076.0,-0.6883870597023556,868.716,99.47554782000101,1.2798205046018665,-16978233935.0,-63370457316.0
20240513,854.43,2,-9.73,-0.0113,866.67,867.08,852.75,907147508,8586624608777,411638741725778.0,-1.1259488983521582,866.484,98.60886063678036,1.653455179018547,-87469840082.0,-107562766930.0
20240514,862.15,1,7.72,0.009,857.44,865.43,856.88,978602246,9606201162156,415674773820312.0,0.903526327493176,864.6619999999999,99.7094818553377,0.9971543198357848,210942143679.0,63897757579.0
20240516,870.37,1,8.22,0.0095,872.31,874.86,868.51,956088791,9870179730942,419640336083835.0,0.9534303775445174,864.2519999999998,100.70789538236535,0.7279522188212932,41691253475.0,73313989573.0
20240517,855.06,2,-15.31,-0.0176,869.06,869.6,854.47,938501648,9247285001086,412645497794751.0,-1.759022025115764,861.234,99.2831216603153,1.740961498630704,-135032027319.0,125820107617.0
20240520,847.08,2,-7.98,-0.0093,856.22,857.51,843.22,1017956271,8345055428621,409036804663475.0,-0.933267840853258,857.818,98.74821931924954,1.6689635841255708,-49197446949.0,135420665041.0
20240521,846.51,2,-0.57,-0.0007,849.32,849.32,843.62,1070889760,9568918373268,408693912250196.0,-0.06728998441706269,856.234,98.86432914366866,0.6711251354024449,-5299730772.0,42009156024.0
20240522,845.72,2,-0.79,-0.0009,850.4,850.59,844.97,914521669,9034343724969,408440572281950.0,-0.09332435529408878,852.948,99.15258608965611,0.6608654750705556,-16570538840.0,32063485956.0
